id,instance,goal,result,duration,verdict,corr_result
231,aba_500_0.1_10_10_3.aba,41,YES,60.54,corr,YES
232,aba_2000_0.1_5_10_8.aba,806,,600.0,TIMEOUT,NO
233,aba_2000_0.3_5_5_0.aba,1511,,600.0,TIMEOUT,NO
234,aba_25_0.3_10_5_0.aba,2,NO,3.78,corr,NO
235,aba_100_0.1_10_5_8.aba,20,,600.0,TIMEOUT,NO
236,aba_500_0.1_5_5_0.aba,43,YES,18.38,corr,YES
237,aba_2000_0.3_10_5_6.aba,954,NO,2.88,corr,NO
238,aba_25_0.3_10_5_4.aba,2,NO,1.54,corr,NO
239,aba_2000_0.1_5_10_0.aba,1883,NO,2.06,corr,NO
240,aba_100_0.1_5_5_3.aba,56,,600.0,TIMEOUT,YES
241,aba_2000_0.1_10_5_4.aba,1241,,600.0,TIMEOUT,YES
242,aba_5000_0.3_10_5_3.aba,332,,600.0,TIMEOUT,YES
243,aba_500_0.1_10_5_8.aba,26,,600.0,TIMEOUT,NO
244,aba_500_0.3_5_5_9.aba,193,,600.0,TIMEOUT,NO
245,aba_100_0.3_5_5_7.aba,16,NO,428.41,inc,YES
246,aba_2000_0.3_10_10_7.aba,1886,,600.0,TIMEOUT,NO
247,aba_100_0.3_10_10_2.aba,57,NO,31.66,corr,NO
248,aba_5000_0.3_5_10_0.aba,1132,,600.0,TIMEOUT,YES
249,aba_5000_0.3_10_10_9.aba,2996,,600.0,TIMEOUT,?
250,aba_500_0.3_10_5_4.aba,223,,600.0,TIMEOUT,NO
251,aba_25_0.3_10_5_3.aba,17,NO,1.86,inc,YES
252,aba_2000_0.1_5_5_9.aba,206,,600.0,TIMEOUT,NO
253,aba_2000_0.1_10_5_1.aba,1422,,600.0,TIMEOUT,YES
254,aba_5000_0.1_10_10_3.aba,739,,600.0,TIMEOUT,YES
255,aba_25_0.3_5_5_3.aba,20,NO,0.64,corr,NO
256,aba_100_0.1_5_5_4.aba,3,YES,2.35,corr,YES
257,aba_25_0.1_10_10_5.aba,16,YES,0.77,corr,YES
258,aba_5000_0.1_5_5_4.aba,3621,,600.0,TIMEOUT,YES
259,aba_5000_0.3_10_5_6.aba,1717,,600.0,TIMEOUT,YES
260,aba_25_0.3_10_5_8.aba,15,NO,1.26,corr,NO
261,aba_100_0.1_10_10_6.aba,6,YES,4.04,corr,YES
262,aba_2000_0.3_5_5_4.aba,72,,600.0,TIMEOUT,NO
263,aba_100_0.3_5_5_1.aba,63,NO,10.76,corr,NO
